# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.7.3
#@/tick	2247
#@/user_id	bigzhu_mac
a 	啊	c=11 d=2.41775 t=2247
ai ya 	哎呀	c=2 d=1.5078 t=2247
an zhao 	按照	c=2 d=0.219149 t=2247
an zhuang 	安裝	c=3 d=0.0408779 t=2247
an zhuang hou 	安裝後	c=1 d=0.075774 t=2247
ao guo qu 	熬過去	c=1 d=0.606531 t=2247
ao ye 	熬夜	c=2 d=0.0315095 t=2247
ba 	吧	c=7 d=1.73075 t=2247
ba 	把	c=8 d=0.903948 t=2247
bai 	白	c=1 d=0.571209 t=2247
bai da 	白搭	c=1 d=0.120633 t=2247
bai lei 	敗類	c=2 d=1.59711 t=2247
bai tian 	白天	c=1 d=0.0124629 t=2247
ban 	板	c=1 d=0.12493 t=2247
ban ben 	版本	c=0 d=0.1 t=2045
ban chu qu 	搬出去	c=1 d=0.336216 t=2247
ban gong shi 	辦公事	c=1 d=0.0191587 t=2247
ban tian 	半天	c=1 d=0.0177743 t=2247
ban zou 	搬走	c=1 d=0.32628 t=2247
bang 	棒	c=0 d=0.1 t=2176
bang bang 	棒棒	c=0 d=0.1 t=2176
bang bang bang 	棒棒棒	c=1 d=1 t=2177
bang wo 	幫我	c=1 d=0.0287246 t=2247
bao chi 	保持	c=1 d=0.0266491 t=2247
bao cuo 	報錯	c=2 d=0.0703649 t=2247
bao jiao 	保交	c=1 d=0.45612 t=2247
bao kuo 	包括	c=1 d=0.137381 t=2247
bao yuan 	抱怨	c=1 d=1 t=2107
bao zang 	寶藏	c=1 d=0.232236 t=2247
bei 	被	c=3 d=0.276666 t=2247
bei fen 	備份	c=2 d=0.816011 t=2247
bei ni 	被你	c=1 d=0.774916 t=2247
bei wo 	被我	c=3 d=0.0906769 t=2247
beng zhi 	崩直	c=1 d=0.937067 t=2247
bi 	比	c=0 d=0.00150707 t=2247
bi ji 	筆記	c=1 d=1 t=2235
bi jiao 	比較	c=2 d=0.264116 t=2247
bi jing 	畢竟	c=2 d=0.321657 t=2247
bi mian 	避免	c=6 d=0.409689 t=2247
bi ru 	比如	c=1 d=0.159614 t=2247
bi xu 	必須	c=1 d=1 t=2137
bi yao 	必要	c=1 d=0.15259 t=2247
bi ye 	畢業	c=1 d=0.647265 t=2247
bian cheng 	變成	c=2 d=0.356058 t=2247
bian hua 	變化	c=1 d=1 t=1999
bian ji 	編輯	c=4 d=0.303223 t=2247
bian ji hou 	編輯後	c=1 d=0.0237541 t=2247
bian ju 	編劇	c=1 d=0.131994 t=2247
bian kuang 	邊框	c=1 d=0.704688 t=2247
biao bai 	表白	c=2 d=0.0792707 t=2247
biao da 	表達	c=1 d=1 t=2058
biao shi 	表示	c=2 d=1.97531 t=2195
biao ti 	標題	c=1 d=0.0163259 t=2247
biao zhun 	標準	c=1 d=0.0710054 t=2247
bie niu 	彆扭	c=1 d=0.0239928 t=2247
bing 	並	c=2 d=0.0280962 t=2247
bing 	冰	c=1 d=0.20089 t=2247
bing bu 	並不	c=1 d=1 t=2167
bing mei you 	並沒有	c=3 d=0.201651 t=2247
bing qie 	並且	c=2 d=0.384065 t=2247
bu 	不	c=0 d=0.00202419 t=2247
bu chong 	補充	c=1 d=0.0300468 t=2247
bu da 	不大	c=1 d=0.0526021 t=2247
bu dao 	不到	c=3 d=2.64056 t=2149
bu deng yu 	不等於	c=1 d=0.0424257 t=2247
bu dong shi 	不懂事	c=1 d=1 t=2031
bu duo 	不多	c=1 d=1 t=2199
bu fen 	部分	c=1 d=0.0665368 t=2247
bu gou yong 	不夠用	c=1 d=0.366045 t=2247
bu guan xin 	不關心	c=1 d=1 t=2134
bu guo 	不過	c=1 d=0.0115047 t=2247
bu hao 	不好	c=1 d=0.149569 t=2247
bu hao de 	不好的	c=1 d=1 t=1973
bu hua 	不花	c=1 d=0.442639 t=2247
bu hui 	不會	c=5 d=2.18787 t=2247
bu ji de 	不記得	c=2 d=0.254107 t=2247
bu ke neng 	不可能	c=1 d=0.946485 t=2247
bu leng 	不冷	c=1 d=0.0561348 t=2247
bu liao 	不了	c=2 d=0.0376143 t=2247
bu man 	不滿	c=1 d=1 t=2109
bu neng 	不能	c=2 d=0.852144 t=2247
bu qi lai 	不起來	c=1 d=0.00860854 t=2247
bu qing chu 	不清楚	c=1 d=0.063609 t=2247
bu quan 	不全	c=1 d=0.369723 t=2247
bu ran 	不然	c=1 d=0.865022 t=2247
bu ren 	不忍	c=1 d=0.582748 t=2247
bu rong yi 	不容易	c=1 d=0.0250972 t=2247
bu shao 	不少	c=1 d=0.634448 t=2247
bu shi 	不是	c=2 d=0.0713104 t=2247
bu shui 	不睡	c=1 d=0.0547488 t=2247
bu xing 	不行	c=1 d=0.26982 t=2247
bu yao 	不要	c=1 d=0.0437178 t=2247
bu ying xiang 	不影響	c=1 d=0.0992613 t=2247
bu zai 	不再	c=1 d=0.0223708 t=2247
cai 	才	c=3 d=2.25939 t=2247
cai xin 	纔信	c=1 d=0.843665 t=2247
can ju 	慘劇	c=1 d=0.0165727 t=2247
can ju 	餐具	c=1 d=0.01649 t=2247
can zhao 	參照	c=1 d=0.218712 t=2247
ce shi 	測試	c=1 d=0.00914087 t=2247
cha 	差	c=1 d=0.0204453 t=2247
cha bu duo 	差不多	c=1 d=0.597501 t=2247
cha jian 	插件	c=3 d=0.229193 t=2247
cha kan 	查看	c=2 d=0.289384 t=2247
cha zhao 	查找	c=0 d=0.0100761 t=2247
cha zhao hou 	查找後	c=1 d=0.101266 t=2247
chang shi 	嘗試	c=2 d=0.45683 t=2247
chao 	超	c=2 d=1.91851 t=2022
chao ji 	超級	c=2 d=0.722254 t=2247
cheng 	成	c=3 d=0.547942 t=2247
chi 	喫	c=1 d=0.600496 t=2247
chi fan 	喫飯	c=1 d=0.0177743 t=2247
chi mian 	喫麪	c=0 d=0.014808 t=2247
chi mian tiao 	喫麪條	c=1 d=0.148823 t=2247
chi xie 	喫些	c=1 d=0.535261 t=2247
chong dian 	充電	c=1 d=0.0368832 t=2247
chong fu 	重複	c=1 d=0.0280154 t=2247
chong gou 	重構	c=1 d=0.438235 t=2247
chong ming ming 	重命名	c=1 d=0.25924 t=2247
chong tu 	衝突	c=1 d=0.140156 t=2247
chong xin 	重新	c=2 d=0.655892 t=2247
chou zhao 	丑照	c=1 d=0.0338776 t=2247
chu fa 	觸發	c=1 d=0.0328764 t=2247
chu lai 	出來	c=1 d=1 t=1907
chu qu 	出去	c=1 d=0.0342181 t=2247
chu xian 	出現	c=4 d=0.125955 t=2247
chuang 	牀	c=1 d=0.980199 t=2247
chuang yi 	創意	c=3 d=1.28306 t=2247
ci 	此	c=0 d=0.0179964 t=2247
ci 	詞	c=0 d=0.1 t=1900
ci ji 	刺激	c=1 d=0.0136366 t=2247
cong tou 	從頭	c=1 d=0.0695994 t=2247
cong xin 	從新	c=1 d=0.814647 t=2247
cu de 	粗的	c=1 d=0.744532 t=2247
cu lve 	粗略	c=1 d=0.718924 t=2247
cun 	村	c=0 d=0.0486752 t=2247
cun li 	村裏	c=1 d=0.0248475 t=2247
cun zai 	存在	c=1 d=0.0422141 t=2247
cun zi 	村子	c=3 d=0.0488218 t=2247
cuo wu 	錯誤	c=1 d=0.0291588 t=2247
da 	大	c=7 d=0.758494 t=2247
da bu fen 	大部分	c=2 d=0.0227322 t=2247
da jian 	搭建	c=0 d=0.022313 t=2247
da jian qi lai 	搭建起來	c=1 d=0.224249 t=2247
da kai 	打開	c=10 d=0.510963 t=2247
da li 	大理	c=3 d=1.59061 t=2247
da liang 	大量	c=1 d=0.332871 t=2247
da shu ju 	大數據	c=1 d=0.67032 t=2247
da xiao 	大小	c=6 d=0.957601 t=2247
da xue 	大學	c=2 d=1.00463 t=2247
dai 	帶	c=1 d=0.0443785 t=2247
dai le 	帶了	c=1 d=0.154124 t=2247
dai ma 	代碼	c=1 d=0.0586887 t=2247
dai ma kuai 	代碼塊	c=1 d=0.0119145 t=2247
dai ti 	代替	c=4 d=0.11991 t=2247
dai ti pin 	代替品	c=1 d=0.0117371 t=2247
dai zhe 	帶着	c=2 d=0.297232 t=2247
dai zhe 	戴着	c=0 d=0.0774916 t=2247
dai zhe yan jing 	戴着眼鏡	c=1 d=0.778801 t=2247
dan 	但	c=2 d=0.018043 t=2247
dan du 	單獨	c=1 d=0.357007 t=2247
dan shi 	但是	c=7 d=1.05072 t=2247
dan wo 	但我	c=1 d=1 t=2127
dang 	當	c=3 d=0.837029 t=2247
dang ran 	當然	c=1 d=0.0397558 t=2247
dang shi ren 	當事人	c=1 d=1 t=2103
dang zuo 	當作	c=2 d=0.536618 t=2247
dao 	到	c=10 d=1.56618 t=2247
dao chu 	到處	c=1 d=0.0133665 t=2247
dao chu 	導出	c=8 d=0.884779 t=2247
dao de 	到的	c=1 d=1 t=2247
dao jia 	到家	c=1 d=0.0305009 t=2247
dao shi 	倒是	c=1 d=0.878095 t=2247
dao zhi 	導致	c=2 d=0.0644637 t=2247
de 	得	c=1 d=0.810584 t=2247
de 	的	c=134 d=13.5455 t=2247
deng deng 	等等	c=2 d=0.129337 t=2247
deng lu 	登錄	c=2 d=0.523155 t=2247
di 	帝	c=0 d=0.1 t=2010
di er kuan 	第二款	c=1 d=1 t=1912
di fang 	地方	c=2 d=0.288174 t=2247
di qiu 	地球	c=1 d=0.127454 t=2247
dian chi 	電池	c=1 d=0.0359725 t=2247
dian ge 	點個	c=0 d=0.1 t=2007
dian ge zan 	點個讚	c=1 d=1 t=2008
dian ji 	點擊	c=1 d=0.00990218 t=2247
dian nao 	電腦	c=1 d=0.0315873 t=2247
dian ying 	電影	c=3 d=0.36998 t=2247
diao yong 	調用	c=1 d=0.839457 t=2247
ding bu 	頂部	c=2 d=0.735843 t=2247
ding yi 	定義	c=1 d=0.0948935 t=2247
ding yue 	訂閱	c=1 d=0.197899 t=2247
dong 	動	c=1 d=0.856415 t=2247
dong xi 	東西	c=2 d=0.396748 t=2247
dou 	都	c=1 d=1 t=2101
dou suan 	都算	c=1 d=0.609571 t=2247
dou yao 	都要	c=1 d=0.0430669 t=2247
dou you 	都有	c=1 d=1 t=1990
du 	杜	c=1 d=0.402524 t=2247
du 	讀	c=2 d=0.397786 t=2247
